AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
Proof Affiliate Program,Digital Service,40% Recurring,Unknown,https://proof.growsumo.com/,It’s a subscription software that helps business owners increase their conversions and sales through the awesome power of social proof. It uses a simple but powerful pop-up that lets people know who else has signed up/purchased a product recently. This simple concept has resulted in HUGE conversion increases for businesses!,"Internet Marketing, Recurring, Software"
Shopify Affiliate Program,Digital Service,20% Recurring,30 Days,https://www.shopify.com/affiliates,"Shopify is an eCommerce platform that powers over 500,000 business in 175 countries and generates over $23.7 million in monthly recurring revenue.","All-Around, Beginner, Ecommerce, Recurring, SaaS"
NinjaOutreach Affiliate Program,Digital Service,50% Recurring,Unknown,https://ninjaoutreach.com/Affiliate,NinjaOutreach is a prospecting tool that helps marketers create and manage outbound email campaigns for their businesses.,"Blogger, Email Marketing, Influencer, Internet Marketing, Recurring, SaaS, Software"
Organifi Affiliate Program,Physical Product,20% Per Sale,Unknown,http://www.organifi.com/affiliate/,Organifi is a food supplement company that offers a subscription-based model for its products.,"Fitness, Supplements"
Phen375 Affiliate Program,Physical Product,45% Per Sale,Lifetime,https://www.phen375.com/en/affiliates.html,They create weight loss pills that suppress appetite and help people trim the fat!,Health and Wellness
Food Blogger Pro Affiliate Program,Digital Service,20% - 40% Recurring,180 Days,https://www.foodbloggerpro.com/blog/article/the-food-blogger-pro-affiliate-program/,Food Blogger Pro teaches people how to start profitable food blogs from scratch.,"Business, High-Paying, Recurring"
Forward Affiliate Program,Digital Service,$8 Per Lead,10 Days,https://www.flexoffers.com/,"Their doctors help you create custom plans for your health and well-being based on your unique preferences.

To become an affiliate, you must sign up for flexoffers.com and search manually.",Health and Wellness
benzinga Affiliate Program,Digital Service,30% Per Sale,90 Days,http://benzinga.postaffiliatepro.com/affiliates/,"Benzinga is a dynamic and innovative financial media outlet that empowers investors with high-quality, unique content that is coveted by Wall Street's top traders.",Financial
AvantLink Affiliate Program,Physical Product,Unknown,Unknown,https://www.avantlink.com/,AvantLink connects businesses with marketers where the merchants will take advantage of affiliate marketing to boost their sales.,All-Around
Target Affiliate Program,Physical Product,8% Per Sale,7 Days,http://affiliate.target.com/,Target is the second-largest discount retailer in the U.S and has massive brand recognition.,"All-Around, Beginner"
Walmart Affiliate Program,Physical Product,1% - 4% Per Sale,3 Days,https://affiliates.walmart.com/,Walmart has always been known for its massive product stocks and prices that are significantly lower than market rates.,"All-Around, Beginner"
MaxBounty Affiliate Program,Digital Product,Varies,Unknown,http://www.maxbounty.com/affiliates.cfm,"MaxBounty is a leading CPA (cost per action) network with more than 2,000 active CPA, CPL and Pay Per Call campaigns. And payouts are weekly!","Business, Pay-Per-Call"
Mindvalley Affiliate Program,Digital Product,50% Per Sale,90 Days,http://www.mindvalley.com/partnerships,"Mindvalley is an innovative learning platform that offers high-quality courses, coaching programs, apps, and events in the personal growth and entrepreneurship space.","Business, Personal Development"
Terra Leads Affiliate Program,Physical Product,Unknown,Unknown,https://terraleads.com/popup/registration,"It is the world’s first CPA Hub and a direct advertiser of nutra offers represented in the following categories: beauty, diet, health, and adult.","Affiliate Networks, Daily-Paying, Health and Wellness"
JVNotifyPro Affiliate Program,Physical Product,Varies,Unknown,http://v3.jvnotifypro.com/account/affiliate/,The primary goal of JVNP 2.0 is to help the partnership gain access to and attract potential JV partners for relationships of mutual benefit by providing both the tools and environment conducive to JV relationship creation and nurturing.,All-Around
MunchEye Affiliate Program,Digital Product,Varies,Varies,http://muncheye.com/,MunchEye is an internet marketing launch calendar. Find upcoming products and get a headstart with affiliating with them before they actually launch.,Internet Marketing
Launch Suite Affiliate Program,Digital Product,Varies,Varies,http://launchsuite.net/login.php,Launch Suite is an excellent internet marketing launch calendar. It has the release schedule of different products so you can start affiliating in advance.,Internet Marketing
Offervault Affiliate Program,Physical Product,Varies,Varies,https://www.offervault.com/,"Offervault is a reference tool to help you find offers to promote. Compare 40,000+ offers and payouts from top affiliate and CPA networks.
","All-Around, Pay-Per-Call"
Cabela’s Affiliate Program,Physical Product,3% Per Sale,14 Days,https://www.cabelas.com/category/Affiliate-Program/105627780.uts,"Cabela's is a massive brand in the outdoor space. This outfitter of hunting, fishing. and outdoor gear has been going since 1961.","Camping, Fishing, Hunting, Sports"
Mountain Hardware Affiliate Program,Physical Product,10% Per Sale,21 Days,https://www.mountainhardwear.com/affiliate-program/Affiliates.html,Mountain Hardware creates clothing and equipment to empower outdoor athletes to live boldly.,Sports
Cloud 9 Living Affiliate Program,Physical Product,5% Per Sale,45 Days,https://signup.cj.com/member/signup/publisher/?cid=2928793&utm_source=getlasso#/branded?_k=s4al80,Cloud 9 Living is an Experience Gift company that offers unique and memorable experiences as gifts.,Travel
